"ID_org","organization name","Address","Postal Code","City","Country"
"Row13133","Holmen Aktiebolag",,"5407","Stockholm","SE"
"Row13674","Ikea Of Sweden Ab",,"702","Almhult","SE"
"Row16422","Kenya Marine And Fisheries Research Institute",,"81651","Mombasa","KE"
"Row18259","Mayfair Holdings Ltd",,"PO BOX 1064","Kisumu","KE"
"Row1849","Arba Minch Town Egnan New Mayet Compost Production Youth Association",,"2152","Arba Minch","ET"
"Row19081","Ministry Of Education And Vocational Training",,"9121","Dar Es Salaam","TZ"
"Row19114","Ministry Of Health",,"1234","Addis Ababa","ET"
"Row19984","National University Of Rwanda",,"117","Butare","RW"
"Row22979","Quality Powder Coatings Ab",,"395","Nassjo","SE"
"Row28403","Tpc Components Aktiebolag",,"517","Hallstahammar","SE"
"Row28458","Transguard Group Llc",,"686","Dubai","AE"
"Row28560","Triona Ab",,"78127","Borlange","SE"
"Row28595","Tropical Institute Of Community Health And Development Trust",,"2224","Kisumu","KE"
"Row29073","Universeum Ab",,"14365","Goeteborg","SE"
"Row29365","Universite D Abomey Calavi Uac",,"526","Abomey Calavi","BJ"
"Row29402","Universite De Lome",,"1515","Lome","TG"
"Row30188","Vattenfall Research And Development Ab",,"814 26","Alvkarleby","SE"
"Row3810","Birzeit University",,"154","Birzeit, West Bank","PS"
"Row6916","Cyprus Association Of General / Family Medicine",,"23552","Nicosia","CY"
"Row7361","Department Of Sustainability, Environment, Water, Population And Communities",,"GPO Box 787","Canberra Act","AU"
"Row8178","Ecole Inter-etats Des Sciences Et Medecine Veterinaires De Dakar",,"BP5077","Dakar","SN"
"Row0","'tudentsko Dru'tvo Za Sinolo'ke Zadeve Yuan","Aaker Eva",,"Ljubljana","SI"
"Row1","( Research Organization And Manufacture Of Bioproducts Ood)","Aboba St.",,"Sofia","BG"
"Row100","A Ishlinsky Institute For Problems In Mechanics Russian Academy Of Science*ipmech Ras","Prospekt Vernadskogo",,"Moscow","RU"
"Row1000","Airbus Deutschland Gmbh","Kreetslag 10",,"Hamburg","DE"
"Row10002","Fachhochschule Rosenheim /university Applied Sciences","Hochschulstrasse 1",,"Rosenheim","DE"
"Row10005","Fachhochschule St. Poelten Forschungs Gmbh","Matthias Corvinusstrasse",,"St Poelten","AT"
"Row10013","Fachverband Der Gewurzindustrie Ev","Reuterstrasse 151",,"Bonn","DE"
"Row10015","Facilia Ab","Gustavslundsvagen 151 C",,"Bromma","SE"
"Row10016","Facility For Antiproton And Ion Research In Europe Gmbh","Planckstrasse 1",,"Darmstadt","DE"
"Row10017","Facit Gmbh & Co.Kg","Luise-ullrich-strasse",,"Gruenwalt","DE"
"Row10019","Fact Future Advanced Composites & Technology Gmbh","Marie Curie Strasse 10",,"Kaiserslautern","DE"
"Row1002","Airbus Ds Sas","1 Boulevard Jean Moulin - Zac De La Clef Saint Pierre",,"Elancourt","FR"
"Row10022","Factory Control Bv","Energieweg 29",,"Tholen","NL"
"Row10028","Faculdade De Engenharia Da Universade Do Porto","Rua Dr Roberto Frias S/n",,"Porto","PT"
"Row10029","Faculdade De Letras Da Universidade De Lisboa","Alameda Da Reitoria (cidade Universitaria)",,"Lisboa","PT"
"Row1003","Airbus France Sas","Route De Bayonne 316",,"Toulouse","FR"
"Row10030","Faculdade De Letras Da Universidade Do Porto","Via Panoramica",,"Porto","PT"
"Row10031","Faculdade De Medicina Veterinaria- Universidade Tecnica De Lisboa","Avenida Da Universidade Tecnica Polo Universitario Do Alto Da Ajuda",,"Lisboa","PT"
"Row10032","Faculdades Catolicas Associacao Sem Fins Lucrativos","Rua Marques De Sao Vicente 225",,"Rio De Janeiro","BR"
"Row10033","Facultad Latinoamericana De Ciencias Sociales","Ayacucho 555",,"Caba Buenos Aires","AR"
"Row10034","Facultad Latinoamericana De Ciencias Sociales","Carretera Al Ajusco Num. 377; Col. Hã©roes De Padierna",,"Mexico DF","MX"
"Row10035","Faculte De Medicine De Tunis","Rue Djebel Lakhdhar - La Rabta Bab Saadoun Tunis 15",,"Tunis","TN"
"Row10038","Faculty For Special Education And Rehabilitation, University Of Belgrade","Visokog Stevana 2",,"Belgrade","RS"
"Row1004","Airbus Group Sas","Boulevard De Montmorency 37",,"Paris","FR"
"Row10040","Faculty Of Agriculture And Food Science Sarajevo","Zmaja Od Bosne",,"Sarajevo","BA"
"Row10041","Faculty Of Agriculture Novi Sad","Trg Dositeja Obradovica 8",,"Novi Sad","RS"
"Row10042","Faculty Of Agriculture University Zagreb - Croatia","Svetosimunska Cesta, 25",,"Zagreb","HR"
"Row10043","Faculty Of Biology, University Of Belgrade","Studentski Trg",,"Beograd","RS"
"Row10044","Faculty Of Ecology And Environmental Sciences","Ulica Cara Dusana 62-64",,"Beograd","RS"
"Row10047","Faculty Of Forestry,university Of Zagreb","Svetosimunska",,"Zagreb","HR"
"Row1005","Airbus Helicopters","Aeroport International Marseille-provence",,"Marignane","FR"
"Row10055","Faculty Of Science University Of Zagreb","Horvatovac",,"Zagreb","HR"
"Row10057","Facultés Universitaires Catholiques De Mons","Chaussée De Binche",,"Mons","BE"
"Row10058","Faenzi S.R.L.","Via Birmania 113",,"Grosseto","IT"
"Row10059","Fag Aerospace Gmbh & Co Kg","Georg Schafer Strasse 30",,"Schweinfurt","DE"
"Row1006","Airbus Helicopters Deutschland Gmbh","Industriestrasse 4",,"Donauworth","DE"
"Row10060","Fagor Aotek S. Coop","B San Andres",,"Arrasate Mondragon","ES"
"Row10062","Fagor Ederlan Slovensko, A.S.","Priemyselna",,"Ziar Nad Hronom","SK"
"Row10063","Fagor Electrodomesticos S. Coop.","Barrio San Andres 18",,"Mondragon","ES"
"Row10064","Fagor Electronica, S. Coop.","Barrio San Andres",,"Arrasate Mondragon","ES"
"Row10065","Fai Farms Ltd","The Field Station Wytham",,"Oxford","GB"
"Row10067","Fairconnect B.V.","Timorplein 53",,"Amsterdam","NL"
"Row10068","Faith & Gantry Ltd","Nacton Road Unit 1 The Quadrangle",,"Ipswich","GB"
"Row10069","Faiveley Transport Amiens","Rue Andre Durouchez 115 Zone Industrielle",,"Amiens","FR"
"Row10070","Faiveley Transport Italia Spa","Via Volvera 51",,"Piossasco","IT"
"Row10071","Faiveley Transport Tours","Boulevard Anatole France 143",,"Saint Denis","FR"
"Row10072","Faktor 3 Aps","Hejrevej 39 - 1 Sal",,"Kobenhavn","DK"
"Row10073","Fakultet Informacionih Tehnologija","Trg Republike - Floor 4",,"Beograd","RS"
"Row10075","Fakultni Nemocnice Brno","Jihlavska 20",,"Brno","CZ"
"Row10076","Fakultni Nemocnice U Sv Anny V Brne","Pekarska 53",,"Brno","CZ"
"Row10077","Fakultni Nemocnice U Sv. Anny V Brno*","Pekarska 53",,"Brno","CZ"
"Row10078","Fakultni Nemocnice V Motole","V Uvalu 84",,"Praha","CZ"
"Row10079","Falcon Communications Limited","Winnal Valley Road 1 Unit 64",,"Winchester","GB"
"Row10080","Falegnameria Valsecchi Sas Di Valsecchi Roberto Ec","Via Brella 1",,"Cagno","IT"
"Row10081","Falex Tribology Nv","Wingepark",,"Rotselaar","BE"
"Row10082","Falk Lack Ab","Vattugatan",,"Mora","SE"
"Row10083","Fallert Ortenauer Holzenergie Gmbh & Co Kg","Bahnhofstrasse 44",,"Appenweier","DE"
"Row10085","Falua Sociedade De Vinhos Sa","Zona Industrial Lote 56",,"Almeirim","PT"
"Row10086","Fam Automobiles Sas","Allee Henri Hugoniot 115",,"Brognard","FR"
"Row10087","Fame-med Medikal Ticaret Limited Sirketi","Agac Metal Sitesi 1436 Sok 32 Iosb",,"Yenimahalle Ankara","TR"
"Row10088","Famiglia Artigiana Fratelli Ruffati Snc*","Via Facciolati",,"Padova","IT"
"Row10090","Fanwing Limited","Dorset Street 43-45",,"London","GB"
"Row10091","Fap Forschungs Und Applikationslabor Plasmatechnik Gmbh Dresden","Gostritzer Strasse 67 B",,"Dresden","DE"
"Row10092","Faperin Sl","Calle Virgen De La Paz 12",,"Alicante","ES"
"Row10093","Fapes S.R.L.","Via Marconi 23/25",,"Sergnano","IT"
"Row10094","Far Eastern Branch Of Russian Academy Of Sciences","Svetlanskaya 50",,"Vladivostok","RU"
"Row10095","Far Eastern Center For Economic Development","Oktyabrskaya Street 27",,"Vladivostok","RU"
"Row10097","Farbe Spa","Via Udine",,"Majano","IT"
"Row10098","Farcoderm France Sas","Rue Yves Collet 4",,"Brest","FR"
"Row10099","Farfalla Essentials Ag","Florastrasse 18b",,"Uster","CH"
"Row101","A K Industries Ltd","Foxwood Court",,"Hereford","GB"
"Row1010","Airbus Operations Sas","New Filton House, Filton",,"Bristol","GB"
"Row10102","Farma-cros Iberica S.L.","Castilla La Mancha. Poligono Industrial Camporrosso 7",,"Albacete","ES"
"Row10103","Farmaquimia Sa De Cv","Andre Marie Ampere 11",,"Cuautitlan Izcalli","MX"
"Row10104","Farmatic Anlagenbau Gmbh","Kolberger Strasse 13",,"Nortorf","DE"
"Row10105","Farnborough Aerospace Consortium Limited","Farnborough Road Council Offices",,"Farnborough Hampshire","GB"
"Row10107","Faron Pharmaceuticals Oy","Tykistokatu 6 B",,"Turku","FI"
"Row10109","Fartpol Ii Jan Sniegocki","Rybacka",,"Grabow Nad Prosna","PL"
"Row1011","Airbus Prosky Sas","Rond Point Maurice Bellonte 1",,"Blagnac","FR"
"Row10111","Faserinstitut Bremen Ev","Am Biologischen Garten 2 Iw3",,"Bremen","DE"
"Row10112","Fashion Agency Mirage Ltd (modna Agenciq Miraj Odd)","Hadji Toshin Str.",,"Vratsa","BG"
"Row10113","Fassnacht Wolfgang","Boschstrasse 12",,"Bobingen","DE"
"Row10114","Fast - Federazione Delle Associazioni Scientifiche E Tecniche","Piazzale Rodolfo Morandi 2",,"Milano","IT"
